cwt_id,income_rank_id,exp_water_electricity,exp_cooking_fuel,exp_garbage,exp_services,exp_health,exp_fuel,exp_transportation,exp_food,exp_house_repair,exp_rental,exp_mortgage
10,1,409.5,269.9,9,20.5,94.8,119.3,318.8,884.6,0,2200.4,
10,2,626.9,313.3,8.6,25.5,127.3,333.6,408.5,1273.7,0,2996.5,3592.4
10,3,941.9,275.7,16.2,68.2,226.6,959.9,497.2,1831.1,2.2,3955.2,5931
10,4,1318.9,346,23.7,107.6,303.4,1803.9,529.4,2254.7,3.5,4915.6,6658.1
10,5,1707.2,395.5,30.2,116.9,526,2439.7,703.4,2848.5,1103.2,5821,8598.9
10,6,2613.1,419,55.2,180.4,1186,4071.6,788.2,3786.5,579.7,12141.1,15634.4
13,1,817.4,,69.4,92.9,17.4,121.8,174.1,897.8,0,3681.4,
13,2,598.6,240,19.5,61.1,72.2,544.7,135.5,1149.5,0,2887.7,6618.7
13,3,1041.8,363.9,26.8,94.5,197.8,1293.3,273.9,1599.1,0,3515.6,6127.1
13,4,1082.7,258,20.6,148,372.8,2324.6,303,2168.7,0,4316,6171.6
13,5,1564.5,448.1,30.4,141.9,322.1,2637.2,225.3,2402.6,0,6023.4,8786.5
13,6,2336.5,394.3,55.6,252.5,1553.9,4263.8,370.4,3469.2,2013.9,10148.9,12608.5
24,1,294.7,200,7.2,7.2,45.7,148.7,39.8,851.5,0,2072.7,
24,2,544.9,302.1,8.9,8.9,26.1,879.5,50.6,1439.6,0,2433.4,
24,3,714.1,358.9,22.5,22.5,135.1,1296.7,67,1872.3,13.8,2755.4,
24,4,1173.7,372.8,23.1,23.1,163.8,1515.6,134.1,2267,0,4242.8,13409.7
24,5,1478.8,400,29,29,734.4,2331.9,137.7,2489.7,0,4655.2,12298
24,6,1682.9,411.3,25.2,25.2,831,3571.4,38.1,2863.1,0,5341.7,11806
33,1,330.9,422.2,20.3,20.3,58.8,289.6,0,879.4,0,2127.1,
33,2,571.8,385.6,23.7,23.7,149.7,972.3,1.3,1239.5,0,2976.6,1250
33,3,880.9,446.6,29.6,29.6,172.6,1753.4,25,1790.2,102.5,4045.6,5999
33,4,1191.3,418.9,46.2,46.2,583.9,2470.3,143.5,1983.5,251.2,4354.3,5196.5
33,5,1063.9,443.5,28.4,28.4,532.1,3102.4,0,2163.5,0,4059.3,21200
33,6,1561.8,451.3,62.5,62.5,289.3,4333.1,171.3,3434.3,395.5,4695.2,55455.3
40,1,378.3,400,19.3,20.7,25.4,165.8,6.4,777.8,0,2174.7,
40,2,632.5,415.2,26.2,28,99.5,777.1,5.6,1303.5,0,2673.8,
40,3,850,394.9,45.5,46,70.7,1593,0,1877.7,0,2975.8,7850
40,4,969.7,415.5,47.6,47.6,136.4,1968.3,12.8,2547.6,0,3366,
40,5,931.5,418.4,59.4,59.4,236.4,1976.4,0,3298.6,0,4837.3,
40,6,1452.5,400,50,50,304.2,3015.1,0,3368.2,0,3854.8,8151.6
45,1,340,,21.9,21.9,151.9,125.7,0,247.1,0,2780.4,
45,2,522.1,368.4,28.1,28.1,63.5,539.5,5.9,918.4,0,3100.6,
45,3,765.1,348.8,27.4,27.4,200,1562.5,76.3,1246.3,7.6,3736.1,
45,4,868.6,347.9,41.5,41.5,87.2,2337.2,0,1739.3,0,4007.9,4045
45,5,749,386.7,42,42,67.4,2742.2,0,1690.6,0,3749.9,7089.2
45,6,1576.3,421.9,36.5,36.5,82.9,4328.8,0,2595.7,479.6,4677.3,12533
50,1,382.8,485.5,30.5,30.5,74.9,90,34.1,709,0,2326.8,
50,2,505.8,379.1,38.7,38.7,355.5,456.4,74,926.8,10.4,2814.1,2050
50,3,682.5,400.5,41.9,50.4,574.3,1242,250.2,1584.8,92.2,3213,
50,4,1034.8,477.9,75.5,75.5,284.5,1262.4,137,2227.3,918.7,5841.8,9729.5
50,5,1294.6,454.7,62.4,62.4,1273.8,1867,135.7,1932.3,0,6064.6,10477.8
50,6,1679.7,490.7,70.6,70.6,1089.6,3258.1,437.1,2789.8,7797.1,11343.9,29992.5
83,1,226,,0,0,75,950,0,1942,0,3500,
83,2,487.2,458.2,20.5,32.1,120.1,775.7,28.1,1280.5,0,3662.5,
83,3,749.4,276.1,24.4,66.1,390,1193,83.9,1938.9,0,4847.3,12267.2
83,4,926.7,338.3,38.6,57.8,668,1744.8,78.4,2566.4,149.2,6044.6,11834.4
83,5,1221.5,372.1,44.5,68.2,287.8,2613.9,0,2919.3,0,6601.7,8683.8
83,6,2113.5,443,68.2,123.6,980.4,3687,180.6,3878.1,486.5,11507.8,13295.1
84,1,389.2,480,19.9,19.9,100.6,395.9,82.4,768.9,0,1944.1,
84,2,478.8,211.8,8.6,8.6,215.8,577.8,85.7,1045.9,0,2367.7,6300
84,3,663.5,350.6,12.5,12.5,304.5,1586.3,85.8,1506.5,19.9,3030.6,12078.9
84,4,890.7,258.8,20.6,20.6,299.4,2151.1,56.2,1573.3,353.5,3679.6,7125.5
84,5,1086.2,261.1,20.1,20.1,346.9,2849.6,0,2465.7,527.7,3960.8,8102.2
84,6,1872.6,401,120.3,120.3,546.6,3626.7,350.1,1954.8,0,4559.7,16347.8
90,1,420.6,247.2,7.3,7.3,27.4,338.8,63.2,712.8,0,2280.4,
90,2,480.9,347.7,11.2,11.2,147.7,800.9,37.8,1280.3,0,2952.5,8550
90,3,922.4,428.9,17.4,17.4,349.3,1903.9,155,1728.8,39.8,4116,9002
90,4,908.9,402.5,22.9,22.9,128.4,2405.9,51.6,2065.4,0,4642.3,7744.6
90,5,1098.2,436.9,24.2,24.2,752.8,2803.9,33,2531.6,0,5026.8,11187.4
90,6,1501,466.3,23.3,23.3,783.1,3714.9,112.9,2557.1,1206.2,5266.4,10606.2
95,1,547.3,366.1,22.9,22.9,231.7,488.6,9.6,1194.2,0,2949.9,
95,2,539.5,427.6,25.3,25.3,261.6,688.9,9.9,1378.1,0,3126.5,
95,3,740.8,446.2,29.6,29.6,378,1328.2,39.2,2016.9,0,3449.9,5627.8
95,4,990.5,459.8,35.4,35.4,636,2378.5,0,2027.2,1263.2,4736,7929
95,5,1062.7,444.7,35.1,35.1,854.3,2397.3,26.7,2278.5,0,4201.9,10309
95,6,1532.5,442.2,42.8,42.8,1210.7,3798.3,15.5,3216.5,1036.1,5831.7,14499.5
