geo_id,quintile,amount,expenditure_id
10,1,66.99,4
10,1,4.06,5
10,1,2.12,6
10,1,0.15,7
10,1,16.44,8
10,1,3.39,9
10,1,2.13,10
10,1,0.61,11
10,1,40.13,12
10,1,19.89,1
10,1,19.88,2
10,1,21.96,3
10,2,58.17,4
10,2,3.68,5
10,2,1.74,6
10,2,0.18,7
10,2,12.79,8
10,2,5.45,9
10,2,1.89,10
10,2,0.6,11
10,2,33.66,12
10,2,14.36,1
10,2,14.31,2
10,2,20.41,3
10,3,54.41,4
10,3,3.68,5
10,3,1.43,6
10,3,0.24,7
10,3,8.13,8
10,3,8.05,9
10,3,1.11,10
10,3,0.75,11
10,3,32.06,12
10,3,11.78,1
10,3,11.39,2
10,3,21.74,3
10,4,48.69,4
10,4,3.75,5
10,4,1.22,6
10,4,0.25,7
10,4,4.95,8
10,4,10.23,9
10,4,0.93,10
10,4,0.7,11
10,4,27.51,12
10,4,11.18,1
10,4,9.18,2
10,4,19.17,3
10,5,39.73,4
10,5,3.3,5
10,5,0.84,6
10,5,0.18,7
10,5,3.05,8
10,5,9.97,9
10,5,0.6,10
10,5,0.67,11
10,5,21.62,12
10,5,13.17,1
10,5,7.66,2
10,5,17.82,3
40,1,56.27,4
40,1,4.39,5
40,1,2.91,6
40,1,0.2,7
40,1,0.1,8
40,1,7.68,9
40,1,3.84,10
40,1,0.28,11
40,1,40.45,12
40,1,21.52,1
40,1,21.52,2
40,2,54.15,4
40,2,4.11,5
40,2,2.41,6
40,2,0.11,7
40,2,0.06,8
40,2,11.81,9
40,2,2.29,10
40,2,0.23,11
40,2,35.04,12
40,2,14.35,1
40,2,14.35,2
40,3,50.77,4
40,3,3.25,5
40,3,1.89,6
40,3,0.12,7
40,3,0,8
40,3,12.23,9
40,3,1.52,10
40,3,0.23,11
40,3,32.71,12
40,3,10.47,1
40,3,9.81,2
40,3,33.88,3
40,4,48.78,4
40,4,2.7,5
40,4,1.59,6
40,4,0.07,7
40,4,0.06,8
40,4,10.95,9
40,4,1.13,10
40,4,0.24,11
40,4,32.91,12
40,4,9.41,1
40,4,9.41,2
40,5,36.48,4
40,5,2.32,5
40,5,0.94,6
40,5,0.03,7
40,5,0,8
40,5,9.45,9
40,5,0.68,10
40,5,0.23,11
40,5,23.15,12
40,5,10.85,1
40,5,10.85,3
50,1,45.9,4
50,1,3.42,5
50,1,1.23,6
50,1,0.11,7
50,1,0.85,8
50,1,4.37,9
50,1,3.29,10
50,1,0.68,11
50,1,34.71,12
50,1,20.34,1
50,1,20.46,2
50,1,17.63,3
50,2,38.72,4
50,2,2.88,5
50,2,1.23,6
50,2,0.09,7
50,2,0.59,8
50,2,6.59,9
50,2,2.19,10
50,2,1.09,11
50,2,25.95,12
50,2,13.52,1
50,2,13.52,2
50,3,44.78,4
50,3,2.87,5
50,3,1.3,6
50,3,0.09,7
50,3,0.99,8
50,3,10.56,9
50,3,1.62,10
50,3,1.78,11
50,3,26.4,12
50,3,6.73,1
50,3,6.73,2
50,4,37.26,4
50,4,2.76,5
50,4,0.94,6
50,4,0.07,7
50,4,0.54,8
50,4,6.93,9
50,4,1.2,10
50,4,1.17,11
50,4,24.51,12
50,4,17.63,1
50,4,9.59,2
50,4,24.64,3
50,5,26.95,4
50,5,1.85,5
50,5,0.46,6
50,5,0.03,7
50,5,0.92,8
50,5,8.03,9
50,5,0.74,10
50,5,0.46,11
50,5,14.84,12
50,5,20.23,1
50,5,5.07,2
50,5,35.02,3
90,1,60.65,4
90,1,4,5
90,1,1.71,6
90,1,0.02,7
90,1,1.08,8
90,1,11.8,9
90,1,2.85,10
90,1,0.53,11
90,1,41.21,12
90,1,24.33,1
90,1,23.41,2
90,1,78.09,3
90,2,49.04,4
90,2,2.97,5
90,2,1.5,6
90,2,0.02,7
90,2,0.46,8
90,2,9.63,9
90,2,2.04,10
90,2,0.86,11
90,2,33.28,12
90,2,14.85,1
90,2,14.85,2
90,3,53.11,4
90,3,3.65,5
90,3,1.69,6
90,3,0.01,7
90,3,1.37,8
90,3,15.47,9
90,3,1.75,10
90,3,0.55,11
90,3,30.18,12
90,3,19.76,1
90,3,12.33,2
90,3,31.49,3
90,4,43.76,4
90,4,2.64,5
90,4,1.11,6
90,4,0,7
90,4,0.27,8
90,4,13.35,9
90,4,1.1,10
90,4,0.79,11
90,4,25.37,12
90,4,10.65,1
90,4,7.71,2
90,4,23.08,3
90,5,34.16,4
90,5,2.25,5
90,5,0.77,6
90,5,0,7
90,5,0.16,8
90,5,12.18,9
90,5,0.75,10
90,5,0.5,11
90,5,18.09,12
90,5,19.11,1
90,5,19.11,3