geo_id,age_group,year,age_population
10,0-6,2020,355858
10,0-6,2021,330714
10,0-6,2022,306962
10,0-6,2023,287471
10,0-6,2024,268803
10,15-24,2020,680061
10,15-24,2021,650823
10,15-24,2022,627878
10,15-24,2023,613612
10,15-24,2024,606490
10,25-49,2020,2089528
10,25-49,2021,2061949
10,25-49,2022,2050516
10,25-49,2023,2036792
10,25-49,2024,2021725
10,50-59,2020,852515
10,50-59,2021,850286
10,50-59,2022,845984
10,50-59,2023,837484
10,50-59,2024,831251
10,60,2020,1140511
10,60,2021,1171900
10,60,2022,1210828
10,60,2023,1251761
10,60,2024,1289206
10,7-14,2020,469749
10,7-14,2021,462322
10,7-14,2022,452764
10,7-14,2023,444468
10,7-14,2024,439483
40,0-6,2020,115987
40,0-6,2021,110274
40,0-6,2022,104659
40,0-6,2023,99554
40,0-6,2024,94034
40,15-24,2020,229917
40,15-24,2021,220886
40,15-24,2022,212746
40,15-24,2023,208404
40,15-24,2024,205612
40,25-49,2020,676780
40,25-49,2021,671104
40,25-49,2022,665266
40,25-49,2023,657572
40,25-49,2024,649256
40,50-59,2020,282670
40,50-59,2021,288261
40,50-59,2022,291394
40,50-59,2023,292957
40,50-59,2024,292285
40,60,2020,328275
40,60,2021,340855
40,60,2022,353289
40,60,2023,365897
40,60,2024,379544
40,7-14,2020,160902
40,7-14,2021,159483
40,7-14,2022,157287
40,7-14,2023,154989
40,7-14,2024,152033
50,0-6,2020,129680
50,0-6,2021,123613
50,0-6,2022,117174
50,0-6,2023,111854
50,0-6,2024,106491
50,15-24,2020,223356
50,15-24,2021,216991
50,15-24,2022,211698
50,15-24,2023,208831
50,15-24,2024,207488
50,25-49,2020,652885
50,25-49,2021,656932
50,25-49,2022,658962
50,25-49,2023,659289
50,25-49,2024,659517
50,50-59,2020,259541
50,50-59,2021,255301
50,50-59,2022,250613
50,50-59,2023,246125
50,50-59,2024,241241
50,60,2020,363488
50,60,2021,379118
50,60,2022,394279
50,60,2023,409458
50,60,2024,421548
50,7-14,2020,155420
50,7-14,2021,157430
50,7-14,2022,159748
50,7-14,2023,161518
50,7-14,2024,162613
90,0-6,2020,122352
90,0-6,2021,115917
90,0-6,2022,109238
90,0-6,2023,104062
90,0-6,2024,98096
90,15-24,2020,202875
90,15-24,2021,199760
90,15-24,2022,197771
90,15-24,2023,196026
90,15-24,2024,195488
90,25-49,2020,528272
90,25-49,2021,528162
90,25-49,2022,526269
90,25-49,2023,525271
90,25-49,2024,522835
90,50-59,2020,185369
90,50-59,2021,188968
90,50-59,2022,191877
90,50-59,2023,192842
90,50-59,2024,194501
90,60,2020,231745
90,60,2021,240176
90,60,2022,248576
90,60,2023,258784
90,60,2024,267679
90,7-14,2020,157996
90,7-14,2021,158553
90,7-14,2022,157332
90,7-14,2023,154974
90,7-14,2024,152532